config,order_id,epsilon,seed,completion,score,max_score,inspect_sum,wall_time_s
V_full,dropped_part1,0.0,0,1,13,13,,203.0
V_full,dropped_part2,0.0,0,1,9,9,,198.0
V_full,dropped_part3,0.0,0,1,17,17,,219.0
V_full,dropped_part4,0.0,0,1,17,17,,271.0
V_full,dropped_part5,0.0,0,1,17,17,,222.0
V_full,dropped_part6,0.0,0,1,13,13,,174.0
V_full,dropped_part7,0.0,0,1,9,9,,159.0
V_full,dropped_part8,0.0,0,1,13,13,,238.0
V_full,dropped_part9,0.0,0,1,34,34,8,571.342192
V_full,dropped_part10,0.0,0,1,22,22,12,332.370974
V_full,normal1,0.0,0,1,13,13,,196.0
V_full,normal2,0.0,0,1,13,13,,214.0
V_full,normal3,0.0,0,1,13,13,,221.0
V_full,normal4,0.0,0,1,17,17,,217.0
V_full,normal5,0.0,0,1,9,9,,151.0
V_full,normal6,0.0,0,1,13,13,,224.0
V_full,normal7,0.0,0,1,9,9,,167.0
V_full,normal8,0.0,0,1,9,9,,150.0
V_full,normal9,0.0,0,1,34,34,5,355.119463
V_full,normal10,0.0,0,1,18,18,0,277.273367
V_full,priority1,0.0,0,1,14,14,0,198.236828
V_full,priority2,0.0,0,1,34,34,3,456.967873
V_full,priority3,0.0,0,1,26,26,0,260.734535
V_full,priority4,0.0,0,1,22,22,1,230.191516
V_full,priority5,0.0,0,1,18,18,1,225.00173
V_full,priority6,0.0,0,1,34,34,4,353.674751
V_full,priority7,0.0,0,1,22,22,1,303.259109
V_full,priority8,0.0,0,1,30,30,3,305.77257
V_full,priority9,0.0,0,1,34,34,2,288.330221
V_full,priority10,0.0,0,1,26,26,0,193.054258
V_full,faulty_part1,0.0,0,1,9,9,,252.0
V_full,faulty_part2,0.0,0,1,13,13,,233.0
V_full,faulty_part3,0.0,0,1,17,17,,236.0
V_full,faulty_part4,0.0,0,1,17,17,,458.0
V_full,faulty_part5,0.0,0,1,17,17,,336.0
V_full,faulty_part6,0.0,0,1,17,17,,250.0
V_full,faulty_part7,0.0,0,1,9,9,,235.0
V_full,faulty_part8,0.0,0,1,9,9,,342.0
V_full,faulty_part9,0.0,0,1,10,10,1,190.875682
V_full,faulty_part10,0.0,0,1,14,14,3,274.307898
V_full,mix_challenges1,0.0,0,1,13,13,,476.0
V_full,mix_challenges2,0.0,0,1,13,13,,524.0
V_full,mix_challenges3,0.0,0,1,13,13,,246.0
V_full,mix_challenges4,0.0,0,1,13,13,,358.0
V_full,mix_challenges5,0.0,0,1,13,13,,323.0
V_full,mix_challenges6,0.0,0,1,13,13,,300.0
V_full,mix_challenges7,0.0,0,1,14,14,2,319.484948
V_full,mix_challenges8,0.0,0,1,22,22,1,414.915496
V_full,mix_challenges9,0.0,0,1,18,18,4,432.910215
V_full,mix_challenges10,0.0,0,1,14,14,2,307.217072
V_full,dropped_part1,0.25,0,1,13,13,2,199.763862
V_full,dropped_part2,0.25,0,1,9,9,1,201.026476
V_full,dropped_part3,0.25,0,1,17,17,0,183.717947
V_full,dropped_part4,0.25,0,1,17,17,17,401.01684
V_full,dropped_part5,0.25,0,1,17,17,4,267.112075
V_full,dropped_part6,0.25,0,1,13,13,2,211.122388
V_full,dropped_part7,0.25,0,1,9,9,2,194.26105
V_full,dropped_part8,0.25,0,1,13,13,,238.0
V_full,dropped_part9,0.25,0,1,34,34,6,460.35936
V_full,dropped_part10,0.25,0,1,22,22,18,433.298121
V_full,normal1,0.25,0,1,13,13,1,206.023007
V_full,normal2,0.25,0,1,13,13,3,229.802862
V_full,normal3,0.25,0,1,13,13,1,162.43903
