,qwen3-max,,,,gpt-5.2-eps=0.25,,,,gpt-5.2-eps=0.5,,,,gpt-5.2-eps=0.75,,,,gpt-5.2-eps=1.0,,,
,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s
dropped_part1,7,222,4,222.1,13,200,2,199.8,13,292,4,291.8,13,269,2,269.3,13,200,2,200.1
dropped_part2,4,277,5,276.9,9,201,1,201.0,9,269,1,269.3,9,229,1,229.0,9,206,1,205.8
dropped_part3,17,352,10,351.8,17,184,0,183.7,17,211,2,211.1,17,227,4,226.9,17,283,5,282.6
dropped_part4,17,407,11,406.8,17,401,17,401.0,17,368,10,367.7,17,453,18,453.4,17,353,11,352.9
dropped_part5,4,195,3,194.6,17,267,4,267.1,17,255,3,254.8,17,255,3,254.8,17,287,5,287.4
dropped_part6,13,247,2,246.6,13,211,2,211.1,13,222,3,222.2,13,197,2,196.9,13,203,2,202.6
dropped_part7,9,237,6,237.5,9,194,2,194.3,9,189,3,189.1,4,150,2,150.2,9,186,4,186.4
dropped_part8,13,356,9,356.4,13,238,,238.0,13,302,8,302.0,13,332,6,332.0,13,325,8,324.8
dropped_part9,7,900,9,900.0,34,460,6,460.4,34,575,18,575.4,34,382,3,381.7,34,571,8,571.3
dropped_part10,22,232,7,232.2,22,230,8,229.5,22,243,8,242.7,22,242,7,242.4,0,900,,900.0
normal1,13,291,7,290.7,13,206,1,206.0,13,205,1,204.5,13,230,1,230.0,13,209,1,209.3
normal2,13,239,7,238.7,13,230,3,229.8,13,195,4,195.2,13,171,2,170.9,13,223,1,222.8
normal3,13,232,7,232.4,13,162,1,162.4,13,158,1,158.2,0,-,,-,13,170,1,170.0
normal4,17,185,1,185.0,17,179,1,179.3,17,182,1,181.6,17,175,1,175.1,17,172,1,172.5
normal5,9,222,7,221.5,9,144,1,144.1,9,143,1,143.1,9,149,1,149.1,9,147,1,146.7
normal6,13,181,1,180.7,13,169,1,168.5,13,162,1,162.4,13,168,1,167.8,13,165,1,164.6
normal7,9,219,7,218.7,9,145,1,144.7,9,137,1,137.2,9,140,1,139.8,9,175,1,175.4
normal8,9,249,7,248.8,9,169,1,168.9,9,150,1,149.9,9,152,1,152.3,9,149,1,149.1
normal9,34,451,19,450.7,17,900,3,900.0,34,370,8,369.9,34,471,19,470.9,34,370,8,369.7
normal10,18,244,9,244.0,18,245,9,244.7,18,244,9,244.0,18,307,5,307.3,18,243,9,243.1
priority1,1,900,5,900.0,14,262,1,262.5,14,223,2,223.1,14,182,1,182.2,14,245,2,244.9
priority2,1,900,12,900.0,34,407,9,407.0,34,277,5,277.1,34,547,16,546.6,34,361,10,361.3
priority3,26,351,7,351.3,26,326,5,326.2,13,391,10,391.3,26,343,8,343.2,13,411,11,411.1
priority4,22,288,6,288.0,22,340,11,340.5,22,259,1,258.8,22,331,11,331.4,22,227,1,226.6
priority5,18,335,9,335.4,18,341,9,341.2,18,370,9,370.0,18,364,8,364.3,18,355,9,355.4
priority6,34,484,14,484.1,34,477,14,476.9,34,481,14,481.5,34,588,19,588.3,34,510,17,510.1
priority7,22,289,6,288.9,22,336,11,336.2,22,349,11,349.3,22,334,11,334.0,22,296,6,295.9
priority8,30,400,12,400.3,30,373,9,373.1,30,397,7,397.0,30,400,5,400.4,30,507,19,506.6
priority9,17,900,11,900.0,17,900,4,900.0,34,321,3,320.7,34,279,2,279.3,34,300,3,299.6
priority10,26,287,9,286.6,26,320,9,319.9,26,219,1,218.8,26,348,10,347.9,0,900,,900.0
faulty_part1,9,264,3,264.2,9,196,1,195.6,9,196,1,196.0,9,196,1,195.5,9,193,1,192.9
faulty_part2,13,353,8,353.5,13,225,0,225.4,13,238,1,238.1,13,253,1,252.6,13,250,1,249.7
faulty_part3,17,353,7,353.4,17,246,2,246.4,17,234,1,234.1,17,244,1,244.1,17,267,2,266.7
faulty_part4,17,440,10,439.6,17,340,5,339.7,17,306,1,306.5,17,350,5,349.8,17,286,3,285.7
faulty_part5,17,374,8,374.3,17,336,,336.0,17,248,1,248.1,17,290,3,290.0,17,298,5,297.8
faulty_part6,17,380,11,380.0,17,248,1,247.7,17,254,2,253.5,17,249,2,248.9,17,270,4,270.4
faulty_part7,9,294,5,294.0,9,247,1,247.4,9,183,1,183.0,9,188,1,188.4,9,200,1,200.0
faulty_part8,9,289,5,289.5,9,339,11,339.1,9,401,20,400.7,9,346,14,346.0,9,369,14,369.1
faulty_part9,10,231,5,230.7,10,228,5,228.2,10,244,5,243.6,10,230,5,230.3,10,226,5,225.9
faulty_part10,14,274,3,274.3,14,293,7,292.7,14,274,7,274.1,14,237,5,237.2,14,270,7,270.3
mix_challenges1,13,414,8,413.9,13,349,5,349.3,13,279,4,279.4,13,364,9,364.3,13,341,6,341.2
mix_challenges2,13,368,7,367.6,13,256,1,256.4,13,231,0,230.6,13,232,1,231.5,13,305,6,304.9
mix_challenges3,13,376,8,375.9,13,380,8,380.5,7,226,0,226.2,0,-,,-,13,364,10,363.9
mix_challenges4,13,359,8,359.0,13,255,2,255.0,13,311,11,310.6,13,262,3,261.5,13,289,2,289.0
mix_challenges5,13,308,3,307.9,13,281,1,281.3,13,262,1,262.2,13,315,5,314.7,13,290,2,290.4
mix_challenges6,13,393,5,392.9,13,281,1,281.3,13,271,1,271.3,13,368,5,367.9,13,303,2,302.6
mix_challenges7,14,319,2,319.5,14,357,6,357.4,0,-,,-,14,302,3,302.0,14,313,5,312.6
mix_challenges8,22,415,1,414.9,22,411,4,411.2,22,404,6,403.8,22,392,4,391.5,22,413,1,413.1
mix_challenges9,18,433,4,432.9,18,452,3,452.2,18,392,5,391.7,18,511,9,511.4,18,405,5,405.5
mix_challenges10,14,307,2,307.2,14,245,2,245.3,9,900,1,900.0,14,265,5,264.6,14,275,5,274.9
