order_id,variant,completion,score,n_replans,inspect_sum,wall_time
dropped_part1,copal,0.5,4,1,1,249
dropped_part10,copal,0,0,1,54,918
dropped_part2,copal,0.5,4,2,4,392
dropped_part3,copal,0.5,10,2,5,389
dropped_part4,copal,0.5,1,2,5,365
dropped_part5,copal,0,0,2,74,919
dropped_part6,copal,0,0,2,66,917
dropped_part7,copal,0.5,4,1,7,404
dropped_part8,copal,0.5,1,2,5,334
dropped_part9,copal,0,0,1,33,918
faulty_part1,copal,0.5,4,1,10,447
faulty_part10,copal,0.5,10,1,3,339
faulty_part2,copal,0.5,7,1,12,581
faulty_part3,copal,0.5,4,1,3,290
faulty_part4,copal,0.5,10,1,5,414
faulty_part5,copal,0.5,10,1,10,455
faulty_part6,copal,0.5,10,1,4,327
faulty_part7,copal,0,0,2,70,918
faulty_part8,copal,0.5,4,1,4,267
faulty_part9,copal,0.5,5,1,1,910
mix_challenges1,copal,0.5,1,2,13,464
mix_challenges10,copal,0.5,9,2,65,918
mix_challenges2,copal,0,0,2,70,918
mix_challenges3,copal,0.5,1,2,15,493
mix_challenges4,copal,0.5,1,1,5,277
mix_challenges5,copal,0.5,4,1,7,371
mix_challenges6,copal,0.5,1,2,11,465
mix_challenges7,copal,0.5,1,1,3,911
mix_challenges8,copal,0.5,1,2,4,910
mix_challenges9,copal,0.5,1,1,2,910
normal1,copal,1,13,0,3,314
normal10,copal,1,18,0,2,369
normal2,copal,1,13,0,3,272
normal3,copal,1,13,0,3,343
normal4,copal,1,17,0,1,264
normal5,copal,1,9,0,3,258
normal6,copal,1,13,0,6,382
normal7,copal,1,9,0,3,272
normal8,copal,1,9,0,1,263
normal9,copal,1,34,0,4,528
priority1,copal,1,14,0,6,392
priority10,copal,1,26,0,2,395
priority2,copal,1,34,0,7,453
priority3,copal,1,26,0,8,497
priority4,copal,1,22,0,5,428
priority5,copal,1,18,0,3,408
priority6,copal,1,34,0,8,552
priority7,copal,1,22,0,2,357
priority8,copal,1,30,0,9,508
priority9,copal,1,34,0,4,497
dropped_part1,doremi,0.5,7,0,2,401
dropped_part10,doremi,0,0,1,3,915
dropped_part2,doremi,0.5,1,0,1,316
dropped_part3,doremi,0.5,1,0,1,272
dropped_part4,doremi,0.5,10,0,2,536
dropped_part5,doremi,0.5,1,0,6,365
dropped_part6,doremi,0.5,7,0,6,524
dropped_part7,doremi,0.5,1,0,7,418
dropped_part8,doremi,0.5,1,0,9,387
dropped_part9,doremi,0,0,0,11,917
faulty_part1,doremi,0.5,4,0,2,458
faulty_part10,doremi,0.5,9,0,4,912
faulty_part2,doremi,0.5,1,0,1,367
faulty_part3,doremi,0.5,4,0,6,501
faulty_part4,doremi,0.5,4,0,4,472
faulty_part5,doremi,0.5,10,0,7,604
faulty_part6,doremi,0.5,4,0,3,491
faulty_part7,doremi,0.5,1,0,3,375
faulty_part8,doremi,0.5,4,0,9,614
faulty_part9,doremi,0.5,5,0,1,911
mix_challenges1,doremi,0.5,1,0,5,405
mix_challenges10,doremi,0.5,4,0,4,910
mix_challenges2,doremi,0.5,1,0,12,523
mix_challenges3,doremi,0.5,1,0,9,467
mix_challenges4,doremi,0,0,0,51,920
mix_challenges5,doremi,0.5,4,0,3,472
mix_challenges6,doremi,0.5,1,0,3,369
mix_challenges7,doremi,0.5,1,0,3,911
mix_challenges8,doremi,0.5,1,0,2,910
mix_challenges9,doremi,0.5,1,0,2,911
normal1,doremi,1,13,0,4,457
normal10,doremi,1,18,0,1,514
normal2,doremi,1,13,0,1,345
normal3,doremi,1,13,0,4,434
normal4,doremi,1,17,0,1,394
normal5,doremi,1,9,0,3,365
normal6,doremi,1,13,0,2,432
normal7,doremi,1,9,0,1,358
normal8,doremi,1,9,0,11,602
normal9,doremi,1,34,0,9,864
priority1,doremi,1,14,0,14,758
priority10,doremi,1,26,0,4,666
priority2,doremi,1,34,0,4,730
priority3,doremi,1,26,0,4,618
priority4,doremi,1,22,0,3,570
priority5,doremi,1,18,0,6,634
priority6,doremi,1,34,0,11,804
priority7,doremi,1,22,0,1,530
priority8,doremi,1,30,0,6,709
priority9,doremi,1,34,0,9,894
