order_id,config,eps,n_subgoals,n_pass_first_check,admissibility,completion,score,inspect_sum
dropped_part1,full,0.25,3,1,0.3333333333333333,1,13,2
dropped_part10,full,0.25,5,0,0.0,1,22,18
dropped_part2,full,0.25,2,0,0.0,1,9,1
dropped_part3,full,0.25,4,2,0.5,1,17,0
dropped_part4,full,0.25,4,0,0.0,1,17,17
dropped_part5,full,0.25,4,1,0.25,1,17,4
dropped_part6,full,0.25,3,0,0.0,1,13,2
dropped_part7,full,0.25,2,0,0.0,1,9,2
dropped_part8,full,0.25,3,1,0.3333333333333333,1,13,31
dropped_part9,full,0.25,8,3,0.375,1,34,6
faulty_part1,full,0.25,2,1,0.5,1,9,1
faulty_part10,full,0.25,3,0,0.0,1,14,3
faulty_part2,full,0.25,3,2,0.6666666666666666,1,13,0
faulty_part3,full,0.25,4,1,0.25,1,17,2
faulty_part4,full,0.25,4,1,0.25,1,17,5
faulty_part5,full,0.25,4,1,0.25,1,17,0
faulty_part6,full,0.25,4,1,0.25,1,17,1
faulty_part7,full,0.25,2,0,0.0,1,9,1
faulty_part8,full,0.25,2,2,1.0,1,9,11
faulty_part9,full,0.25,2,1,0.5,1,10,1
mix_challenges1,full,0.25,3,0,0.0,1,13,5
mix_challenges10,full,0.25,3,1,0.3333333333333333,1,14,6
mix_challenges2,full,0.25,3,1,0.3333333333333333,1,13,1
mix_challenges3,full,0.25,3,1,0.3333333333333333,1,13,8
mix_challenges4,full,0.25,3,1,0.3333333333333333,1,13,2
mix_challenges5,full,0.25,3,0,0.0,1,13,1
mix_challenges6,full,0.25,3,0,0.0,1,13,1
mix_challenges7,full,0.25,3,1,0.3333333333333333,1,14,3
mix_challenges8,full,0.25,5,2,0.4,1,22,2
mix_challenges9,full,0.25,4,1,0.25,1,18,5
normal1,full,0.25,3,1,0.3333333333333333,1,13,1
normal10,full,0.25,4,3,0.75,1,18,1
normal2,full,0.25,3,1,0.3333333333333333,1,13,3
normal3,full,0.25,3,2,0.6666666666666666,1,13,1
normal4,full,0.25,4,0,0.0,1,17,1
normal5,full,0.25,2,0,0.0,1,9,1
normal6,full,0.25,3,1,0.3333333333333333,1,13,1
normal7,full,0.25,2,0,0.0,1,9,1
normal8,full,0.25,2,1,0.5,1,9,1
normal9,full,0.25,8,3,0.375,0,17,12
priority1,full,0.25,3,1,0.3333333333333333,1,14,1
priority10,full,0.25,6,2,0.3333333333333333,1,26,3
priority2,full,0.25,8,0,0.0,1,34,14
priority3,full,0.25,6,3,0.5,1,26,1
priority4,full,0.25,5,2,0.4,1,22,1
priority5,full,0.25,4,0,0.0,0,13,1
priority6,full,0.25,8,6,0.75,1,34,3
priority7,full,0.25,5,3,0.6,1,22,1
priority8,full,0.25,7,4,0.5714285714285714,1,30,2
priority9,full,0.25,8,1,0.125,0,17,4
dropped_part1,full,0.5,3,0,0.0,1,13,4
dropped_part10,full,0.5,5,0,0.0,0,5,3
dropped_part2,full,0.5,2,0,0.0,1,9,1
dropped_part3,full,0.5,4,1,0.25,1,17,2
dropped_part4,full,0.5,4,0,0.0,1,17,10
dropped_part5,full,0.5,4,1,0.25,1,17,3
dropped_part6,full,0.5,3,1,0.3333333333333333,1,13,3
dropped_part7,full,0.5,2,0,0.0,1,9,3
dropped_part8,full,0.5,3,0,0.0,1,13,8
dropped_part9,full,0.5,8,1,0.125,0,0,4
faulty_part1,full,0.5,2,1,0.5,1,9,1
faulty_part10,full,0.5,3,0,0.0,0,9,3
faulty_part2,full,0.5,3,0,0.0,1,13,1
faulty_part3,full,0.5,4,1,0.25,1,17,1
faulty_part4,full,0.5,4,1,0.25,1,17,1
faulty_part5,full,0.5,4,0,0.0,1,17,1
faulty_part6,full,0.5,4,1,0.25,1,17,2
faulty_part7,full,0.5,2,0,0.0,1,9,1
faulty_part8,full,0.5,2,1,0.5,1,9,20
faulty_part9,full,0.5,2,0,0.0,1,10,1
mix_challenges1,full,0.5,3,0,0.0,1,13,4
mix_challenges10,full,0.5,3,1,0.3333333333333333,0,9,4
mix_challenges2,full,0.5,3,1,0.3333333333333333,1,13,0
mix_challenges3,full,0.5,3,2,0.6666666666666666,0,7,0
mix_challenges4,full,0.5,3,1,0.3333333333333333,1,13,11
mix_challenges5,full,0.5,3,0,0.0,1,13,1
mix_challenges6,full,0.5,3,0,0.0,1,13,1
mix_challenges7,full,0.5,3,0,0.0,0,0,2
mix_challenges8,full,0.5,5,2,0.4,0,1,1
mix_challenges9,full,0.5,4,1,0.25,0,0,5
normal1,full,0.5,3,1,0.3333333333333333,1,13,1
normal10,full,0.5,4,2,0.5,1,18,2
normal2,full,0.5,3,0,0.0,1,13,4
normal3,full,0.5,3,0,0.0,1,13,1
normal4,full,0.5,4,1,0.25,1,17,1
normal5,full,0.5,2,0,0.0,1,9,1
normal6,full,0.5,3,1,0.3333333333333333,1,13,1
normal7,full,0.5,2,0,0.0,1,9,1
normal8,full,0.5,2,0,0.0,1,9,1
normal9,full,0.5,8,3,0.375,1,34,4
priority1,full,0.5,3,0,0.0,1,14,2
priority10,full,0.5,6,2,0.3333333333333333,1,26,3
priority2,full,0.5,8,0,0.0,1,34,5
priority3,full,0.5,6,2,0.3333333333333333,1,26,7
priority4,full,0.5,5,1,0.2,1,22,1
priority5,full,0.5,4,1,0.25,1,18,1
priority6,full,0.5,8,3,0.375,1,34,2
priority7,full,0.5,5,2,0.4,1,22,1
priority8,full,0.5,7,2,0.2857142857142857,0,17,5
priority9,full,0.5,8,0,0.0,1,34,3
dropped_part1,full,0.75,3,1,0.3333333333333333,1,13,2
dropped_part10,full,0.75,5,0,0.0,0,5,3
dropped_part2,full,0.75,2,0,0.0,1,9,1
dropped_part3,full,0.75,4,0,0.0,1,17,4
dropped_part4,full,0.75,4,1,0.25,1,17,18
dropped_part5,full,0.75,4,1,0.25,1,17,3
dropped_part6,full,0.75,3,0,0.0,1,13,2
dropped_part7,full,0.75,2,0,0.0,0,4,2
dropped_part8,full,0.75,3,0,0.0,1,13,6
dropped_part9,full,0.75,8,3,0.375,1,34,3
faulty_part1,full,0.75,2,0,0.0,1,9,1
faulty_part10,full,0.75,3,0,0.0,1,14,3
faulty_part2,full,0.75,3,1,0.3333333333333333,1,13,1
faulty_part3,full,0.75,4,1,0.25,1,17,1
faulty_part4,full,0.75,4,0,0.0,1,17,5
faulty_part5,full,0.75,4,1,0.25,1,17,3
faulty_part6,full,0.75,4,1,0.25,1,17,2
faulty_part7,full,0.75,2,0,0.0,1,9,1
faulty_part8,full,0.75,2,1,0.5,1,9,14
faulty_part9,full,0.75,2,0,0.0,1,10,1
mix_challenges1,full,0.75,3,0,0.0,1,13,9
mix_challenges10,full,0.75,3,0,0.0,1,14,5
mix_challenges2,full,0.75,3,0,0.0,1,13,1
mix_challenges3,full,0.75,3,1,0.3333333333333333,0,0,5
mix_challenges4,full,0.75,3,1,0.3333333333333333,1,13,3
mix_challenges5,full,0.75,3,0,0.0,1,13,5
mix_challenges6,full,0.75,3,0,0.0,1,13,5
mix_challenges7,full,0.75,3,0,0.0,1,14,3
mix_challenges8,full,0.75,5,1,0.2,1,22,6
mix_challenges9,full,0.75,4,0,0.0,0,0,4
normal1,full,0.75,3,0,0.0,1,13,1
normal10,full,0.75,4,1,0.25,1,18,1
normal2,full,0.75,3,0,0.0,1,13,2
normal3,full,0.75,3,0,0.0,1,13,2
normal4,full,0.75,4,1,0.25,1,17,1
normal5,full,0.75,2,0,0.0,1,9,1
normal6,full,0.75,3,0,0.0,1,13,1
normal7,full,0.75,2,0,0.0,1,9,1
normal8,full,0.75,2,0,0.0,1,9,1
normal9,full,0.75,8,1,0.125,0,0,3
priority1,full,0.75,3,0,0.0,1,14,1
priority10,full,0.75,6,1,0.16666666666666666,0,9,4
priority2,full,0.75,8,1,0.125,0,17,4
priority3,full,0.75,6,1,0.16666666666666666,0,13,7
priority4,full,0.75,5,1,0.2,1,22,1
priority5,full,0.75,4,1,0.25,1,18,1
priority6,full,0.75,8,2,0.25,1,34,2
priority7,full,0.75,5,1,0.2,1,22,1
priority8,full,0.75,7,1,0.14285714285714285,1,30,5
priority9,full,0.75,8,0,0.0,1,34,2
dropped_part1,full,1.0,3,0,0.0,1,13,2
dropped_part10,full,1.0,5,1,0.2,0,0,13
dropped_part2,full,1.0,2,0,0.0,1,9,1
dropped_part3,full,1.0,4,0,0.0,1,17,5
dropped_part4,full,1.0,4,0,0.0,1,17,11
dropped_part5,full,1.0,4,0,0.0,1,17,5
dropped_part6,full,1.0,3,0,0.0,1,13,2
dropped_part7,full,1.0,2,0,0.0,1,9,4
dropped_part8,full,1.0,3,0,0.0,1,13,8
dropped_part9,full,1.0,8,2,0.25,1,34,2
faulty_part1,full,1.0,2,0,0.0,1,9,1
faulty_part10,full,1.0,3,0,0.0,1,14,3
faulty_part2,full,1.0,3,0,0.0,1,13,1
faulty_part3,full,1.0,4,0,0.0,1,17,2
faulty_part4,full,1.0,4,0,0.0,1,17,3
faulty_part5,full,1.0,4,0,0.0,1,17,5
faulty_part6,full,1.0,4,0,0.0,1,17,4
faulty_part7,full,1.0,2,0,0.0,1,9,1
faulty_part8,full,1.0,2,1,0.5,1,9,14
faulty_part9,full,1.0,2,0,0.0,1,10,1
mix_challenges1,full,1.0,3,0,0.0,1,13,6
mix_challenges10,full,1.0,3,0,0.0,0,4,2
mix_challenges2,full,1.0,3,0,0.0,1,13,6
mix_challenges3,full,1.0,3,0,0.0,1,13,10
mix_challenges4,full,1.0,3,0,0.0,1,13,2
mix_challenges5,full,1.0,3,0,0.0,1,13,2
mix_challenges6,full,1.0,3,0,0.0,1,13,2
mix_challenges7,full,1.0,3,0,0.0,0,0,3
mix_challenges8,full,1.0,5,1,0.2,1,22,1
mix_challenges9,full,1.0,4,0,0.0,0,0,4
normal1,full,1.0,3,1,0.3333333333333333,1,13,1
normal10,full,1.0,4,0,0.0,1,18,1
normal2,full,1.0,3,0,0.0,1,13,1
normal3,full,1.0,3,0,0.0,1,13,1
normal4,full,1.0,4,0,0.0,1,17,1
normal5,full,1.0,2,0,0.0,1,9,1
normal6,full,1.0,3,0,0.0,1,13,1
normal7,full,1.0,2,0,0.0,1,9,1
normal8,full,1.0,2,0,0.0,1,9,1
normal9,full,1.0,8,0,0.0,1,34,12
priority1,full,1.0,3,0,0.0,1,14,2
priority10,full,1.0,6,0,0.0,0,0,5
priority2,full,1.0,8,0,0.0,1,34,2
priority3,full,1.0,6,0,0.0,0,0,4
priority4,full,1.0,5,1,0.2,1,22,1
priority5,full,1.0,4,0,0.0,1,18,1
priority6,full,1.0,8,0,0.0,0,0,3
priority7,full,1.0,5,0,0.0,1,22,1
priority8,full,1.0,7,0,0.0,0,0,5
priority9,full,1.0,8,0,0.0,1,34,3
dropped_part1,binary,0.25,3,1,0.333333333333,0,7,4
dropped_part10,binary,0.25,5,1,0.2,0,1,33
dropped_part2,binary,0.25,2,0,0,1,9,55
dropped_part3,binary,0.25,4,2,0.5,0,1,1
dropped_part4,binary,0.25,4,0,0,0,1,1
dropped_part5,binary,0.25,4,1,0.25,0,1,2
dropped_part6,binary,0.25,3,0,0,0,7,3
dropped_part7,binary,0.25,2,1,0.5,0,0,10
dropped_part8,binary,0.25,3,0,0,0,4,4
dropped_part9,binary,0.25,8,2,0.25,0,7,38
faulty_part1,binary,0.25,2,0,0,0,4,5
faulty_part10,binary,0.25,3,0,0,0,10,2
faulty_part2,binary,0.25,3,1,0.333333333333,0,1,6
faulty_part3,binary,0.25,4,0,0,0,0,71
faulty_part4,binary,0.25,4,0,0,0,0,57
faulty_part5,binary,0.25,4,2,0.5,0,0,47
faulty_part6,binary,0.25,4,0,0,0,10,2
faulty_part7,binary,0.25,2,0,0,0,1,7
faulty_part8,binary,0.25,2,1,0.5,0,4,10
faulty_part9,binary,0.25,2,0,0,0,5,5
mix_challenges1,binary,0.25,3,0,0,0,0,83
mix_challenges10,binary,0.25,3,1,0.333333333333,0,4,3
mix_challenges2,binary,0.25,3,1,0.333333333333,0,7,15
mix_challenges3,binary,0.25,3,1,0.333333333333,0,1,25
mix_challenges4,binary,0.25,3,1,0.333333333333,0,1,5
mix_challenges5,binary,0.25,3,0,0,0,1,1
mix_challenges6,binary,0.25,3,0,0,0,0,90
mix_challenges7,binary,0.25,3,0,0,0,1,6
mix_challenges8,binary,0.25,5,1,0.2,0,1,4
mix_challenges9,binary,0.25,4,1,0.25,0,1,3
normal1,binary,0.25,3,0,0.0,1,13,1
normal10,binary,0.25,4,0,0.0,1,18,2
normal2,binary,0.25,3,2,0.6666666666666666,1,13,1
normal3,binary,0.25,3,0,0.0,1,13,1
normal4,binary,0.25,4,1,0.25,1,17,1
normal5,binary,0.25,2,0,0.0,1,9,1
