tree_queries,task_size,horizon,latent_variables,method,seed,candidate_actions_mean,tree_effective_branching,success,planning_time_s
200,1,12,1,flat,0,38.0,5.009404389,1,0.005968196
200,1,12,1,pddl_pomdp,0,1.285714286,1.181818182,1,0.002172849
200,1,12,1,flat,1,38.0,4.914634146,1,0.00248776
200,1,12,1,pddl_pomdp,1,1.285714286,1.195652174,1,0.002165954
200,1,12,1,flat,2,38.0,5.194852941,1,0.002141825
200,1,12,1,pddl_pomdp,2,1.285714286,1.186046512,1,0.002190659
200,1,12,1,flat,3,38.0,4.289330922,0,0.003093097
200,1,12,1,pddl_pomdp,3,1.444444444,1.193548387,1,0.003110746
200,1,12,1,flat,4,38.0,5.190322581,1,0.002368659
200,1,12,1,pddl_pomdp,4,1.285714286,1.186046512,1,0.002264906
200,1,12,1,flat,5,38.0,5.576923077,1,0.001657191
200,1,12,1,pddl_pomdp,5,1.25,1.161290323,1,0.002708153
200,1,12,1,flat,6,38.0,5.585635359,1,0.001657083
200,1,12,1,pddl_pomdp,6,1.375,1.166666667,1,0.002802908
200,1,12,1,flat,7,38.0,5.651685393,1,0.001671141
200,1,12,1,pddl_pomdp,7,1.25,1.181818182,1,0.002625078
200,1,12,1,flat,8,38.0,5.527173913,1,0.001676365
200,1,12,1,pddl_pomdp,8,1.285714286,1.175438596,1,0.002204218
200,1,12,1,flat,9,38.0,5.319371728,1,0.001676087
200,1,12,1,pddl_pomdp,9,1.285714286,1.19047619,1,0.002184301
200,1,12,1,flat,10,38.0,5.722222222,1,0.001673567
200,1,12,1,pddl_pomdp,10,1.375,1.169230769,1,0.002744996
200,1,12,1,flat,11,38.0,5.443243243,1,0.00167957
200,1,12,1,pddl_pomdp,11,1.285714286,1.176470588,1,0.002227164
200,1,12,1,flat,12,38.0,5.448430493,1,0.001888019
200,1,12,1,pddl_pomdp,12,1.375,1.17721519,1,0.002765841
200,1,12,1,flat,13,38.0,4.469811321,0,0.002802062
200,1,12,1,pddl_pomdp,13,1.4,1.168316832,1,0.003884788
200,1,12,1,flat,14,38.0,5.664804469,1,0.001678061
200,1,12,1,pddl_pomdp,14,1.285714286,1.185185185,1,0.002219169
200,1,12,1,flat,15,38.0,5.320175439,1,0.002159072
200,1,12,1,pddl_pomdp,15,1.285714286,1.173076923,1,0.00227264
200,1,12,1,flat,16,38.0,5.466063348,1,0.00186193
200,1,12,1,pddl_pomdp,16,1.285714286,1.181818182,1,0.002185164
200,1,12,1,flat,17,38.0,4.437148218,0,0.002755352
200,1,12,1,pddl_pomdp,17,1.444444444,1.172413793,1,0.003271535
200,1,12,1,flat,18,38.0,4.312043796,0,0.002880405
200,1,12,1,pddl_pomdp,18,1.444444444,1.196721311,1,0.003184369
200,1,12,1,flat,19,38.0,4.405959032,0,0.002940341
200,1,12,1,pddl_pomdp,19,1.5,1.193548387,1,0.002702505
200,2,20,2,flat,0,66.0,4.376725838,1,0.005976615
200,2,20,2,pddl_pomdp,0,1.428571429,1.241496599,1,0.008312849
200,2,20,2,flat,1,66.0,4.309803922,1,0.005627069
200,2,20,2,pddl_pomdp,1,1.384615385,1.25,1,0.007264272
200,2,20,2,flat,2,66.0,2.948301329,0,0.011419986
200,2,20,2,pddl_pomdp,2,1.466666667,1.237785016,1,0.008869899
200,2,20,2,flat,3,66.0,2.853535354,0,0.011869568
200,2,20,2,pddl_pomdp,3,1.428571429,1.258555133,1,0.008701872
200,2,20,2,flat,4,66.0,4.023183926,1,0.007098341
200,2,20,2,pddl_pomdp,4,1.333333333,1.259067358,1,0.006737083
200,2,20,2,flat,5,66.0,3.0453149,0,0.011294077
200,2,20,2,pddl_pomdp,5,1.4375,1.241176471,1,0.009855821
200,2,20,2,flat,6,66.0,3.988571429,1,0.007632264
200,2,20,2,pddl_pomdp,6,1.384615385,1.247826087,1,0.007679098
200,2,20,2,flat,7,66.0,3.019069413,0,0.01188684
200,2,20,2,pddl_pomdp,7,1.4375,1.233676976,1,0.009509063
200,2,20,2,flat,8,66.0,4.3125,1,0.006161245
200,2,20,2,pddl_pomdp,8,1.333333333,1.242990654,1,0.00715184
200,2,20,2,flat,9,66.0,4.164644714,1,0.006527213
200,2,20,2,pddl_pomdp,9,1.428571429,1.242105263,1,0.008799446
200,2,20,2,flat,10,66.0,4.199649737,1,0.00692892
200,2,20,2,pddl_pomdp,10,1.428571429,1.251851852,1,0.008743833
200,2,20,2,flat,11,66.0,4.087030717,1,0.006643942
200,2,20,2,pddl_pomdp,11,1.333333333,1.255102041,1,0.007079549
200,2,20,2,flat,12,66.0,3.064814815,0,0.011925479
200,2,20,2,pddl_pomdp,12,1.4375,1.259136213,1,0.009905665
200,2,20,2,flat,13,66.0,2.866039102,0,0.012079403
200,2,20,2,pddl_pomdp,13,1.466666667,1.257352941,1,0.009376144
200,2,20,2,flat,14,66.0,4.031104199,1,0.007292963
200,2,20,2,pddl_pomdp,14,1.384615385,1.258687259,1,0.008145975
200,2,20,2,flat,15,66.0,3.036015326,0,0.011891997
200,2,20,2,pddl_pomdp,15,1.4,1.237704918,1,0.00898673
200,2,20,2,flat,16,66.0,4.383697813,1,0.006878215
200,2,20,2,pddl_pomdp,16,1.384615385,1.239130435,1,0.007858468
200,2,20,2,flat,17,66.0,2.855699856,0,0.011525084
200,2,20,2,pddl_pomdp,17,1.4,1.246428571,1,0.00942544
200,2,20,2,flat,18,66.0,2.857864358,0,0.011764872
200,2,20,2,pddl_pomdp,18,1.4375,1.24822695,1,0.009972567
200,2,20,2,flat,19,66.0,2.847262248,0,0.012125993
200,2,20,2,pddl_pomdp,19,1.466666667,1.250922509,1,0.00945694
200,4,36,4,flat,0,152.0,8.212978369,1,0.025218337
200,4,36,4,pddl_pomdp,0,1.416666667,1.312655087,1,0.022775894
200,4,36,4,flat,1,152.0,7.530795073,1,0.027747896
200,4,36,4,pddl_pomdp,1,1.36,1.318217979,1,0.025461191
200,4,36,4,flat,2,152.0,8.027972028,1,0.024825159
200,4,36,4,pddl_pomdp,2,1.4,1.313125,1,0.029752229
200,4,36,4,flat,3,152.0,6.69878391,0,0.030696204
200,4,36,4,pddl_pomdp,3,1.44,1.317757009,1,0.024914566
200,4,36,4,flat,4,152.0,7.418963616,1,0.027534285
200,4,36,4,pddl_pomdp,4,1.391304348,1.308652988,1,0.021340516
200,4,36,4,flat,5,152.0,6.380909902,0,0.030925079
200,4,36,4,pddl_pomdp,5,1.461538462,1.312096774,1,0.02637872
200,4,36,4,flat,6,152.0,7.694575472,1,0.027591359
200,4,36,4,pddl_pomdp,6,1.44,1.315876974,1,0.023771715
200,4,36,4,flat,7,152.0,6.264680105,0,0.031403519
200,4,36,4,pddl_pomdp,7,1.461538462,1.308823529,1,0.024194821
200,4,36,4,flat,8,152.0,6.626617375,0,0.02925213
200,4,36,4,pddl_pomdp,8,1.384615385,1.303495311,1,0.024096202
200,4,36,4,flat,9,152.0,7.007820137,0,0.030181859
200,4,36,4,pddl_pomdp,9,1.466666667,1.314132619,1,0.029250347
200,4,36,4,flat,10,152.0,7.453175457,1,0.028453023
200,4,36,4,pddl_pomdp,10,1.391304348,1.328884652,1,0.021854809
200,4,36,4,flat,11,152.0,6.803044719,0,0.030481655
200,4,36,4,pddl_pomdp,11,1.4,1.302822926,1,0.023978104
200,4,36,4,flat,12,152.0,6.168393782,0,0.030783596
200,4,36,4,pddl_pomdp,12,1.464285714,1.315202232,1,0.027408618
200,4,36,4,flat,13,152.0,6.547619048,0,0.029487417
200,4,36,4,pddl_pomdp,13,1.444444444,1.331693605,1,0.027427074
200,4,36,4,flat,14,152.0,7.989218329,1,0.023970364
200,4,36,4,pddl_pomdp,14,1.416666667,1.313874788,1,0.02336693
200,4,36,4,flat,15,152.0,7.132338308,0,0.031101312
200,4,36,4,pddl_pomdp,15,1.44,1.321592649,1,0.024754032
200,4,36,4,flat,16,152.0,8.288321168,1,0.020638074
200,4,36,4,pddl_pomdp,16,1.375,1.324685535,1,0.023183893
200,4,36,4,flat,17,152.0,6.163934426,0,0.029367571
200,4,36,4,pddl_pomdp,17,1.428571429,1.305519054,1,0.028279095
