action,experiment,model,verifier_config,trial,epsilon,budget_s,target_budget_s,status,reason,source,run_dir
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part1,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part2,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part3,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part4,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part5,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part6,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part7,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,dropped_part8,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part1,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part2,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part3,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part4,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part5,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part6,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part7,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,faulty_part8,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges1,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges2,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges3,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
