,V_binary-eps=0.25,,,,V_binary-eps=0.5,,,,V_binary-eps=0.75,,,,V_binary-eps=1.0,,,
,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s,总得分,订单完成时间,inspect_sum,avg_wall_time_s
dropped_part1,7,343,4,343.0,4,289,5,289.0,7,336,7,336.0,7,380,3,380.0
dropped_part2,9,870,55,870.0,4,276,1,276.0,4,300,2,300.0,4,255,1,255.0
dropped_part3,1,209,1,209.0,4,318,6,318.0,10,336,5,336.0,7,412,7,412.0
dropped_part4,1,265,1,265.0,10,836,20,836.0,4,338,2,338.0,0,900,18,900.0
dropped_part5,1,319,2,319.0,4,331,1,331.0,1,301,2,301.0,1,426,5,426.0
dropped_part6,7,370,3,370.0,0,900,25,900.0,0,900,25,900.0,1,265,2,265.0
dropped_part7,0,558,10,558.0,4,446,9,446.0,4,363,7,363.0,4,254,2,254.0
dropped_part8,4,308,4,308.0,1,269,4,269.0,1,309,6,309.0,1,292,5,292.0
dropped_part9,7,900,38,900.0,4,900,3,900.0,0,900,28,900.0,4,900,30,900.0
dropped_part10,1,900,33,900.0,5,900,17,900.0,5,900,7,900.0,1,900,23,900.0
normal1,13,260,1,260.0,13,247,1,247.1,13,204,1,204.4,13,252,1,252.3
normal2,13,166,1,166.3,13,185,1,185.0,13,291,1,291.4,13,225,1,224.9
normal3,13,165,1,165.5,13,392,3,392.3,13,244,1,243.7,13,264,2,264.3
normal4,17,183,1,183.0,17,260,1,260.1,17,262,1,262.5,17,242,1,242.2
normal5,9,201,1,201.1,9,176,1,176.4,9,156,1,156.0,9,165,1,164.9
normal6,13,174,1,174.3,13,212,1,211.6,13,300,3,300.5,13,246,1,246.3
normal7,9,162,1,162.4,9,153,1,152.7,9,195,1,195.1,9,144,1,144.2
normal8,9,206,1,205.6,9,169,1,169.2,9,211,1,210.9,9,271,1,271.0
normal9,34,333,2,333.0,34,452,12,452.3,34,347,8,347.1,34,575,25,575.0
normal10,18,226,2,225.7,18,230,1,229.7,18,261,3,260.7,18,236,2,236.3
priority1,14,200,1,200.3,14,260,0,260.1,14,180,1,180.3,9,242,1,241.7
priority2,34,330,6,330.1,4,900,10,900.0,34,420,2,420.1,34,237,1,236.9
priority3,26,242,1,242.4,26,311,4,311.1,26,300,3,300.4,26,373,4,373.1
priority4,13,900,9,900.0,22,265,1,265.4,22,421,12,420.8,22,317,5,317.3
priority5,18,285,1,285.3,18,272,1,272.4,18,305,1,304.6,18,308,1,308.4
priority6,34,373,3,373.0,17,398,3,397.7,34,357,2,356.5,34,380,2,380.4
priority7,22,235,1,235.2,22,221,1,220.7,22,255,1,255.3,22,236,1,236.2
priority8,0,900,,900.0,30,322,3,321.8,30,335,4,335.3,30,340,5,340.3
priority9,34,349,4,349.1,27,324,2,324.5,17,900,3,900.0,34,252,2,251.7
priority10,26,268,3,268.1,26,289,4,289.1,26,246,2,246.1,26,240,1,239.6
faulty_part1,4,357,5,357.0,4,333,5,333.0,4,256,1,256.0,7,674,33,674.0
faulty_part2,1,369,6,369.0,0,900,73,900.0,7,459,10,459.0,7,448,8,448.0
faulty_part3,0,900,71,900.0,10,412,7,412.0,4,323,5,323.0,4,300,4,300.0
faulty_part4,0,900,57,900.0,0,900,65,900.0,0,900,58,900.0,10,426,7,426.0
faulty_part5,0,900,47,900.0,4,335,4,335.0,10,350,3,350.0,10,343,2,343.0
faulty_part6,10,313,2,313.0,10,527,9,527.0,10,444,8,444.0,10,476,9,476.0
faulty_part7,1,395,7,395.0,0,900,76,900.0,4,305,3,305.0,1,259,2,259.0
faulty_part8,4,322,10,322.0,4,266,4,266.0,4,362,8,362.0,4,275,4,275.0
faulty_part9,5,900,5,900.0,5,900,1,900.0,5,900,4,900.0,5,900,2,900.0
faulty_part10,10,336,2,336.0,9,900,2,900.0,10,377,5,377.0,9,900,3,900.0
mix_challenges1,0,900,83,900.0,1,625,20,625.0,0,900,80,900.0,1,605,22,605.0
mix_challenges2,7,545,15,545.0,1,317,6,317.0,1,422,9,422.0,1,247,3,247.0
mix_challenges3,1,637,25,637.0,1,384,12,384.0,0,900,59,900.0,1,343,10,343.0
mix_challenges4,1,249,5,249.0,1,322,12,322.0,4,635,28,635.0,1,272,2,272.0
mix_challenges5,1,227,1,227.0,4,281,4,281.0,4,262,3,262.0,4,326,6,326.0
mix_challenges6,0,900,90,900.0,0,900,95,900.0,0,900,85,900.0,0,900,86,900.0
mix_challenges7,1,900,6,900.0,5,900,9,900.0,1,900,3,900.0,0,900,81,900.0
mix_challenges8,1,900,4,900.0,1,900,8,900.0,1,900,1,900.0,1,900,5,900.0
mix_challenges9,1,900,3,900.0,1,900,5,900.0,0,900,71,900.0,0,900,66,900.0
mix_challenges10,4,900,3,900.0,4,900,8,900.0,4,900,5,900.0,4,900,2,900.0
