Task ID,Material,Seed,Actual required temp (C),Full,,,,,,,,No-Reflow,,,,,,,,No-POMCP,,,,,,,
,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,
,,,,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost
碳素钢-180-000,碳素钢,204730000,351.01115566509685,0,416,170.5,30.0,0,371,73.0,0.0,0,376,100.5,20.0,0,376,90.5,10.0,1,351,50.0,0.0,1,351,50.0,0.0
碳素钢-180-001,碳素钢,204730010,325.5024467578694,0,376,113.0,20.0,0,371,85.5,0.0,0,361,80.5,10.0,0,371,85.5,0.0,0,351,55.5,0.0,0,351,55.5,0.0
碳素钢-180-002,碳素钢,204730020,327.5926125119822,0,366,88.0,10.0,0,366,88.0,10.0,0,361,80.5,10.0,0,371,85.5,0.0,0,351,55.5,0.0,0,351,55.5,0.0
碳素钢-180-003,碳素钢,204730030,302.3712866393241,0,351,78.0,10.0,0,371,98.0,0.0,0,371,108.0,10.0,0,361,93.0,10.0,0,351,68.0,0.0,0,351,68.0,0.0
碳素钢-180-004,碳素钢,204730040,318.8734864733653,0,361,85.5,10.0,0,366,93.0,10.0,0,366,103.0,20.0,0,371,100.5,10.0,0,351,60.5,0.0,0,351,60.5,0.0
碳素钢-180-005,碳素钢,204730050,317.4468564469371,0,361,85.5,10.0,0,376,98.0,0.0,0,361,85.5,10.0,0,366,93.0,10.0,0,351,60.5,0.0,0,351,60.5,0.0
碳素钢-180-006,碳素钢,204730060,340.7282993916669,0,386,110.5,10.0,0,356,65.5,10.0,0,371,98.0,20.0,0,361,83.0,20.0,1,351,50.0,0.0,1,351,50.0,0.0
碳素钢-180-007,碳素钢,204730070,297.53566177899984,0,381,105.5,10.0,0,381,105.5,10.0,0,347,108.5,10.0,0,327,88.5,20.0,0,351,70.5,0.0,0,351,70.5,0.0
碳素钢-180-008,碳素钢,204730080,315.5751448811875,0,376,83.0,10.0,0,376,83.0,10.0,0,361,95.5,20.0,0,371,90.5,0.0,0,351,60.5,0.0,0,351,60.5,0.0
碳素钢-180-009,碳素钢,204730090,332.5696065476064,0,386,90.5,10.0,0,386,90.5,10.0,0,381,118.0,20.0,0,371,83.0,0.0,0,351,53.0,0.0,0,351,53.0,0.0
碳素钢-200-034,碳素钢,204730341,339.2160813295016,0,381,80.5,10.0,0,396,93.0,0.0,0,364,162.0,30.0,1,309,80.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
碳素钢-200-035,碳素钢,204730351,289.1288163506308,0,376,98.0,10.0,0,396,118.0,0.0,0,344,137.0,10.0,0,314,102.0,20.0,0,317,58.5,0.0,0,317,58.5,0.0
碳素钢-200-036,碳素钢,204730361,367.4470813851793,0,426,143.0,20.0,0,396,78.0,0.0,0,417,198.5,30.0,1,337,80.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
碳素钢-200-037,碳素钢,204730371,316.91808223902257,0,376,83.0,10.0,0,396,103.0,0.0,0,342,101.0,20.0,0,337,83.5,10.0,1,317,50.0,0.0,1,317,50.0,0.0
碳素钢-200-038,碳素钢,204730381,354.7773461619911,0,376,65.5,10.0,0,396,85.5,0.0,0,437,226.0,20.0,1,337,80.0,10.0,1,317,50.0,0.0,1,317,50.0,0.0
碳素钢-200-039,碳素钢,204730391,334.21850728826195,0,381,78.0,10.0,0,401,98.0,0.0,0,429,242.0,10.0,1,314,95.0,20.0,1,317,50.0,0.0,1,317,50.0,0.0
碳素钢-200-040,碳素钢,204730401,272.9987769773177,0,381,108.0,10.0,0,386,115.5,10.0,0,354,159.5,10.0,0,309,82.0,0.0,0,317,66.0,0.0,0,317,66.0,0.0
碳素钢-200-041,碳素钢,204730411,327.914741560593,0,386,88.0,10.0,0,391,95.5,10.0,0,412,201.0,20.0,1,337,70.0,0.0,1,317,50.0,0.0,1,317,50.0,0.0
