task_id,material,size_group_target_mm,initial_inner_mm,target_shaft_mm,t_needed_c,world_seed,human_proposal_temp_c,human_pass,human_rvr,human_n_heat,human_n_inspect,human_actions,human_final_temp_c,human_total_cost,llm_proposal_temp_c,llm_pass,llm_rvr,llm_n_heat,llm_n_inspect,llm_actions,llm_final_temp_c,llm_total_cost,llm_reflow_proposal_temp_c,llm_reflow_pass,llm_reflow_rvr,llm_reflow_n_heat,llm_reflow_n_inspect,llm_reflow_actions,llm_reflow_final_temp_c,llm_reflow_total_cost,pomdp_no_reflow_proposal_temp_c,pomdp_no_reflow_pass,pomdp_no_reflow_rvr,pomdp_no_reflow_n_heat,pomdp_no_reflow_n_inspect,pomdp_no_reflow_actions,pomdp_no_reflow_final_temp_c,pomdp_no_reflow_total_cost,pomdp_reflow_proposal_temp_c,pomdp_reflow_pass,pomdp_reflow_rvr,pomdp_reflow_n_heat,pomdp_reflow_n_inspect,pomdp_reflow_actions,pomdp_reflow_final_temp_c,pomdp_reflow_total_cost
碳素钢-180-000,碳素钢,180.0,179.4,180.0,351.01115566509685,204730000,345,0,1,0,0,ASSEMBLE,345,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,351,1,0,5,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,376,100.5,351,1,0,13,3,INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,416,170.5
碳素钢-180-001,碳素钢,180.0,179.41,180.0,325.5024467578694,204730010,340,1,0,0,0,ASSEMBLE,340,50.0,351,1,0,0,0,ASSEMBLE,351,55.5,351,1,0,0,0,ASSEMBLE,351,55.5,351,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,80.5,351,1,0,5,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,376,113.0
碳素钢-180-002,碳素钢,180.0,179.46,180.0,327.5926125119822,204730020,315,0,1,0,0,ASSEMBLE,315,50.0,351,1,0,0,0,ASSEMBLE,351,55.5,351,1,0,0,0,ASSEMBLE,351,55.5,351,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,80.5,351,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,366,88.0
碳素钢-180-003,碳素钢,180.0,179.48,180.0,302.3712866393241,204730030,305,0,1,0,0,ASSEMBLE,305,50.0,351,1,0,0,0,ASSEMBLE,351,68.0,351,1,0,0,0,ASSEMBLE,351,68.0,351,1,0,4,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,371,108.0,351,1,0,0,1,INSPECT ASSEMBLE,351,78.0
碳素钢-180-004,碳素钢,180.0,179.44,180.0,318.8734864733653,204730040,325,0,1,0,0,ASSEMBLE,325,50.0,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,3,2,INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,366,103.0,351,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,85.5
碳素钢-180-005,碳素钢,180.0,179.46,180.0,317.4468564469371,204730050,315,0,1,0,0,ASSEMBLE,315,50.0,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,85.5,351,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,85.5
碳素钢-180-006,碳素钢,180.0,179.4,180.0,340.7282993916669,204730060,345,0,1,0,0,ASSEMBLE,345,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,351,1,0,4,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,371,98.0,351,1,0,7,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,110.5
碳素钢-180-007,碳素钢,180.0,179.47,180.0,297.53566177899984,204730070,310,1,0,0,0,ASSEMBLE,310,50.0,317,1,0,0,0,ASSEMBLE,317,53.5,351,1,0,0,0,ASSEMBLE,351,70.5,317,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,347,108.5,371,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,381,105.5
碳素钢-180-008,碳素钢,180.0,179.45,180.0,315.5751448811875,204730080,320,0,1,0,0,ASSEMBLE,320,50.0,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,0,0,ASSEMBLE,351,60.5,351,1,0,2,2,INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,95.5,376,1,0,0,1,INSPECT ASSEMBLE,376,83.0
碳素钢-180-009,碳素钢,180.0,179.43,180.0,332.5696065476064,204730090,330,0,1,0,0,ASSEMBLE,330,50.0,351,1,0,0,0,ASSEMBLE,351,53.0,351,1,0,0,0,ASSEMBLE,351,53.0,351,1,0,6,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 INSPECT ASSEMBLE,381,118.0,376,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,90.5
碳素钢-200-034,碳素钢,200.0,199.34,200.0,339.2160813295016,204730341,340,0,1,0,0,ASSEMBLE,340,50.0,289,0,1,0,0,ASSEMBLE,289,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,289,1,0,15,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,364,162.0,376,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,381,80.5
碳素钢-200-035,碳素钢,200.0,199.44,200.0,289.1288163506308,204730351,300,1,0,0,0,ASSEMBLE,300,50.0,289,0,1,0,0,ASSEMBLE,289,50.0,317,1,0,0,0,ASSEMBLE,317,58.5,289,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,344,137.0,376,1,0,0,1,INSPECT ASSEMBLE,376,98.0
碳素钢-200-036,碳素钢,200.0,199.31,200.0,367.4470813851793,204730361,355,0,1,0,0,ASSEMBLE,355,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,20,3,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,417,198.5,376,1,0,10,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,426,143.0
碳素钢-200-037,碳素钢,200.0,199.37,200.0,316.91808223902257,204730371,330,1,0,0,0,ASSEMBLE,330,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,5,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,342,101.0,376,1,0,0,1,INSPECT ASSEMBLE,376,83.0
碳素钢-200-038,碳素钢,200.0,199.29,200.0,354.7773461619911,204730381,365,1,0,0,0,ASSEMBLE,365,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,24,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,437,226.0,376,1,0,0,1,INSPECT ASSEMBLE,376,65.5
碳素钢-200-039,碳素钢,200.0,199.32,200.0,334.21850728826195,204730391,350,1,0,0,0,ASSEMBLE,350,52.5,289,0,1,0,0,ASSEMBLE,289,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,289,1,0,28,1,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,429,242.0,381,1,0,0,1,INSPECT ASSEMBLE,381,78.0
碳素钢-200-040,碳素钢,200.0,199.44,200.0,272.9987769773177,204730401,300,1,0,0,0,ASSEMBLE,300,57.5,289,1,0,0,0,ASSEMBLE,289,52.0,317,1,0,0,0,ASSEMBLE,317,66.0,289,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,354,159.5,381,1,0,0,1,INSPECT ASSEMBLE,381,108.0
碳素钢-200-041,碳素钢,200.0,199.35,200.0,327.914741560593,204730411,340,1,0,0,0,ASSEMBLE,340,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,19,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,412,201.0,381,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,386,88.0
碳素钢-200-042,碳素钢,200.0,199.28,200.0,351.4380858376875,204730421,370,1,0,0,0,ASSEMBLE,370,52.5,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,10,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,367,121.0,381,1,0,3,0,HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,396,80.5
碳素钢-200-043,碳素钢,200.0,199.4,200.0,308.93152933996123,204730431,315,0,1,0,0,ASSEMBLE,315,50.0,289,0,1,0,0,ASSEMBLE,289,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,289,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,344,127.0,381,1,0,0,1,INSPECT ASSEMBLE,381,90.5
