task_id,material,size_group_target_mm,initial_inner_mm,target_shaft_mm,t_needed_c,world_seed,eps_0p25_proposal_temp_c,eps_0p25_pass,eps_0p25_rvr,eps_0p25_n_heat,eps_0p25_n_inspect,eps_0p25_actions,eps_0p25_final_temp_c,eps_0p25_total_cost,eps_0p50_proposal_temp_c,eps_0p50_pass,eps_0p50_rvr,eps_0p50_n_heat,eps_0p50_n_inspect,eps_0p50_actions,eps_0p50_final_temp_c,eps_0p50_total_cost,eps_0p75_proposal_temp_c,eps_0p75_pass,eps_0p75_rvr,eps_0p75_n_heat,eps_0p75_n_inspect,eps_0p75_actions,eps_0p75_final_temp_c,eps_0p75_total_cost,eps_1p00_proposal_temp_c,eps_1p00_pass,eps_1p00_rvr,eps_1p00_n_heat,eps_1p00_n_inspect,eps_1p00_actions,eps_1p00_final_temp_c,eps_1p00_total_cost
碳素钢-180-000,碳素钢,180.0,179.4,180.0,351.01115566509685,204730000,339,1,0,16,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,419,177.0,326,1,0,18,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,416,195.5,314,1,0,11,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,369,127.0,301,1,0,22,3,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,411,213.0
碳素钢-180-001,碳素钢,180.0,179.41,180.0,325.5024467578694,204730010,339,1,0,3,3,INSPECT HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,354,102.0,326,1,0,12,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,153.0,314,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,379,144.5,301,1,0,17,4,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,198.0
碳素钢-180-002,碳素钢,180.0,179.46,180.0,327.5926125119822,204730020,339,1,0,3,3,INSPECT HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,354,102.0,323,1,0,11,4,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,378,164.0,332,1,0,5,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,357,103.5,298,1,0,20,4,INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,398,219.0
碳素钢-180-003,碳素钢,180.0,179.48,180.0,302.3712866393241,204730030,342,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,347,81.0,353,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,358,86.5,320,1,0,6,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,350,117.5,348,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,353,84.0
碳素钢-180-004,碳素钢,180.0,179.44,180.0,318.8734864733653,204730040,342,1,0,0,1,INSPECT ASSEMBLE,342,66.0,333,1,0,3,2,HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,348,94.0,314,1,0,8,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,354,122.0,303,1,0,12,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,363,146.5
碳素钢-180-005,碳素钢,180.0,179.46,180.0,317.4468564469371,204730050,342,1,0,0,1,INSPECT ASSEMBLE,342,66.0,323,1,0,10,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,373,141.5,320,1,0,11,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,375,147.5,348,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,378,114.0
碳素钢-180-006,碳素钢,180.0,179.4,180.0,340.7282993916669,204730060,339,1,0,10,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,389,137.0,326,1,0,9,3,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,371,133.0,314,1,0,17,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,399,167.0,301,1,0,24,3,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,421,233.0
碳素钢-180-007,碳素钢,180.0,179.47,180.0,297.53566177899984,204730070,330,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,345,92.5,346,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,376,123.0,314,1,0,12,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,374,162.0,331,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,341,85.5
碳素钢-180-008,碳素钢,180.0,179.45,180.0,315.5751448811875,204730080,330,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,385,142.5,346,1,0,0,1,INSPECT ASSEMBLE,346,68.0,317,1,0,5,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,342,101.0,303,1,0,12,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,363,146.5
碳素钢-180-009,碳素钢,180.0,179.43,180.0,332.5696065476064,204730090,330,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,385,135.0,346,1,0,10,1,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,396,135.5,314,1,0,16,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,394,174.5,313,1,0,16,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,393,174.0
