method,detector,initial_label_corruption_epsilon,task_count,hole_count,mean_total_cost,total_cost_population_std,fasten_violation_count,fasten_count,fasten_violation_rate,task_pass_count,task_pass_rate,mean_probe_count,probe_fixed_count,probe_optimal_count,terminal_direct_fasten_actions,terminal_insert_actions,terminal_recover_actions
MLM,train70,0.0,20,120,206.4,116.88,6,120,0.05,14,0.7,0.1,2,0,31,37,52
Human,train70,0.0,20,120,194.45,85.93,5,120,0.0417,15,0.75,9.15,183,0,33,40,47
PVEP_no_POMDP,train70,0.0,20,120,173.3,82.19,5,120,0.0417,15,0.75,6.85,112,25,36,40,44
PVEP_no_SG,train70,0.0,20,120,191.6,85.83,5,120,0.0417,15,0.75,8.2,164,0,33,40,47
PVEP,train70,0.0,20,120,103.6,52.9,4,120,0.0333,17,0.85,6.85,30,107,48,40,32
PVEP_eps_0.25,train70,0.25,20,120,117.8,65.09,5,120,0.0417,16,0.8,7.5,26,124,49,39,32
PVEP_eps_0.50,train70,0.5,20,120,124.35,68.6,6,120,0.05,15,0.75,8.0,29,131,50,39,31
PVEP_eps_0.75,train70,0.75,20,120,129.6,69.08,6,120,0.05,15,0.75,8.95,32,147,50,39,31
PVEP_eps_1.00,train70,1.0,20,120,136.3,77.96,7,120,0.0583,15,0.75,9.3,28,158,51,39,30
PVEP_train50_balanced,train50_balanced,0.0,20,120,132.4,72.21,10,120,0.0833,12,0.6,8.05,46,115,54,40,26
